id,sku,short_description,price,list_price,quantity_sold,favourite_count,discount,discount_rate,review_count,rating_average,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name,,
272328188,5.46125E+12,"Điện Thoại Samsung A05 4GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Thân máy, cáp dữ liệu, tài liệu hướng dẫn, dụng cụ lấy sim.Màn hình lớn- Được trang bị màn hình với kích thước 6.7 Inch Kết h...",2679000,3090000,11,0,411000,13,3,5,available,,1000,1000,,18802,Samsung,,
248688169,2.46713E+12,"Điện Thoại Samsung A54 5G 8GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Thân máy, cáp sạc, dụng cụ lấy sim, sách hướng dẫn.Màn hình mượt mà sống động- Trang bị màn hình Super AMOLED kích thước 6....",7169000,10490000,15,0,3321000,32,4,5,available,,1000,1000,,18802,Samsung,,
230203067,2.0267E+12,"Thông số kỹ thuậtMàn hình: Kích thước 6.5 inch, tấm nền LCD, độ phân giải Full HD+.CPU: Snapdragon 480 5G.RAM: 4 GB.Bộ nhớ trong: 64 GB.Dung lượng pin: 4.000 mAh, hỗ trợ sạc nhanh 18 W....",2832000,3699000,24,0,867000,23,11,5,available,,1000,1000,,25643,OPPO,,
140184098,2.12627E+12,"Điện Thoại Vsmart Bee Lite 2GB/16GB - Hàng Chính HãngBộ sản phẩm bao gồm: Thân máy, sạc, cáp USB, sách hướng dẫn sử dụng.       Thiết kế cơ bản, kiểu dáng tinh gọn, dễ dùng- Mặt lưng chất liệu nhựa...",940000,1990000,80,0,1050000,53,24,4.5,available,,1000,1000,,257333,Vsmart,,
270510406,4.76376E+12,...,5490000,6290000,2,0,800000,13,1,5,available,,1000,1000,,52232,Vivo,,
272113804,7.09647E+12, ...,3790000,3990000,4,0,200000,5,1,5,available,,1000,1000,,52232,Vivo,,
259542697,3.48425E+12,"Xiaomi Redmi Note 12S sẽ là chiếc điện thoại tiếp theo được nhà Xiaomi tung ra thị trường Việt Nam trong tháng 05/2023. Điện thoại sở hữu một lối thiết kế hiện đại, màn hình hiển thị chi tiết đi cùng...",4790000,6690000,58,0,1900000,28,17,4.6,available,,1000,1000,,25422,Xiaomi,,
272392928,3.72406E+12,"Đặc điểm nổi bật của Samsung Galaxy A05 128GBTận hưởng những công nghệ mới ở tầm giá phải chăng cùng Galaxy A05. Từ diện mạo trẻ trung, năng động đến màn hình rộng lớn 6.7 inch, bộ đôi camera 50MP ...",2600000,3090000,2,0,490000,16,0,0,available,,1000,1000,,18802,Samsung,,
249151803,2.02875E+12,"Samsung vừa tung ra thị trường mẫu điện thoại thông minh Samsung Galaxy A54 5G 128GB vào tháng 03/2023. Đây là một sản phẩm tầm trung đáng chú ý, được trang bị màn hình Super AMOLED hiện đại và sử dụn...",7250000,10490000,13,0,3240000,31,2,5,available,,1000,1000,,18802,Samsung,,
272394241,7.60755E+12,"Đặc điểm nổi bật của Samsung Galaxy A05s 128GBSamsung Galaxy A05s là chiếc smartphone giá rẻ hiệu năng cao, sở hữu con chip Snapdragon 680 đầu tiên phân khúc, giúp người dùng tận hưởng trải nghiệm ...",3390000,3990000,2,0,600000,15,2,5,available,,1000,1000,,18802,Samsung,,
